Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)"
Actual,Melanoma of the skin,1982,Males,00-04,0,0.0
Actual,Melanoma of the skin,1982,Males,05-09,0,0.0
Actual,Melanoma of the skin,1982,Males,10-14,6,0.9
Actual,Melanoma of the skin,1982,Males,15-19,30,4.6
Actual,Melanoma of the skin,1982,Males,20-24,52,7.7
Actual,Melanoma of the skin,1982,Males,25-29,83,13.1
Actual,Melanoma of the skin,1982,Males,30-34,125,20.1
Actual,Melanoma of the skin,1982,Males,35-39,115,21.0
Actual,Melanoma of the skin,1982,Males,40-44,134,30.2
Actual,Melanoma of the skin,1982,Males,45-49,131,34.2
Actual,Melanoma of the skin,1982,Males,50-54,179,45.6
Actual,Melanoma of the skin,1982,Males,55-59,195,52.1
Actual,Melanoma of the skin,1982,Males,60-64,201,66.0
Actual,Melanoma of the skin,1982,Males,65-69,186,73.7
Actual,Melanoma of the skin,1982,Males,70-74,145,79.0
Actual,Melanoma of the skin,1982,Males,75-79,82,74.0
Actual,Melanoma of the skin,1982,Males,80-84,54,98.4
Actual,Melanoma of the skin,1982,Males,85-89,14,67.3
Actual,Melanoma of the skin,1982,Males,90+,4,52.2
Actual,Melanoma of the skin,1982,Males,All ages combined,"1,738",22.9
Actual,Melanoma of the skin,1983,Males,00-04,1,0.2
Actual,Melanoma of the skin,1983,Males,05-09,2,0.3
Actual,Melanoma of the skin,1983,Males,10-14,4,0.6
Actual,Melanoma of the skin,1983,Males,15-19,27,4.1
Actual,Melanoma of the skin,1983,Males,20-24,51,7.5
Actual,Melanoma of the skin,1983,Males,25-29,77,12.0
Actual,Melanoma of the skin,1983,Males,30-34,125,20.0
Actual,Melanoma of the skin,1983,Males,35-39,135,23.2
Actual,Melanoma of the skin,1983,Males,40-44,126,27.6
Actual,Melanoma of the skin,1983,Males,45-49,139,35.4
Actual,Melanoma of the skin,1983,Males,50-54,172,44.6
Actual,Melanoma of the skin,1983,Males,55-59,203,53.5
Actual,Melanoma of the skin,1983,Males,60-64,227,71.1
Actual,Melanoma of the skin,1983,Males,65-69,202,80.2
Actual,Melanoma of the skin,1983,Males,70-74,156,81.9
Actual,Melanoma of the skin,1983,Males,75-79,108,93.5
Actual,Melanoma of the skin,1983,Males,80-84,37,64.0
Actual,Melanoma of the skin,1983,Males,85-89,16,75.6
Actual,Melanoma of the skin,1983,Males,90+,10,127.2
Actual,Melanoma of the skin,1983,Males,All ages combined,"1,818",23.7
Actual,Melanoma of the skin,1984,Males,00-04,0,0.0
Actual,Melanoma of the skin,1984,Males,05-09,1,0.2
Actual,Melanoma of the skin,1984,Males,10-14,4,0.6
Actual,Melanoma of the skin,1984,Males,15-19,35,5.3
Actual,Melanoma of the skin,1984,Males,20-24,56,8.2
Actual,Melanoma of the skin,1984,Males,25-29,92,14.1
Actual,Melanoma of the skin,1984,Males,30-34,111,17.7
Actual,Melanoma of the skin,1984,Males,35-39,133,22.1
Actual,Melanoma of the skin,1984,Males,40-44,158,33.2
Actual,Melanoma of the skin,1984,Males,45-49,155,38.3
Actual,Melanoma of the skin,1984,Males,50-54,192,50.5
Actual,Melanoma of the skin,1984,Males,55-59,208,54.4
Actual,Melanoma of the skin,1984,Males,60-64,222,66.2
Actual,Melanoma of the skin,1984,Males,65-69,224,89.8
Actual,Melanoma of the skin,1984,Males,70-74,196,98.5
Actual,Melanoma of the skin,1984,Males,75-79,120,99.6
Actual,Melanoma of the skin,1984,Males,80-84,54,88.4
Actual,Melanoma of the skin,1984,Males,85-89,24,109.5
Actual,Melanoma of the skin,1984,Males,90+,7,84.5
Actual,Melanoma of the skin,1984,Males,All ages combined,"1,993",25.6
Actual,Melanoma of the skin,1985,Males,00-04,0,0.0
Actual,Melanoma of the skin,1985,Males,05-09,0,0.0
Actual,Melanoma of the skin,1985,Males,10-14,2,0.3
Actual,Melanoma of the skin,1985,Males,15-19,27,4.0
Actual,Melanoma of the skin,1985,Males,20-24,59,8.6
Actual,Melanoma of the skin,1985,Males,25-29,107,16.0
Actual,Melanoma of the skin,1985,Males,30-34,139,22.2
Actual,Melanoma of the skin,1985,Males,35-39,163,26.1
Actual,Melanoma of the skin,1985,Males,40-44,168,33.9
Actual,Melanoma of the skin,1985,Males,45-49,157,37.4
Actual,Melanoma of the skin,1985,Males,50-54,196,52.3
Actual,Melanoma of the skin,1985,Males,55-59,253,65.7
Actual,Melanoma of the skin,1985,Males,60-64,264,76.6
Actual,Melanoma of the skin,1985,Males,65-69,240,94.5
Actual,Melanoma of the skin,1985,Males,70-74,212,103.3
Actual,Melanoma of the skin,1985,Males,75-79,125,98.9
Actual,Melanoma of the skin,1985,Males,80-84,68,107.2
Actual,Melanoma of the skin,1985,Males,85-89,30,125.8
Actual,Melanoma of the skin,1985,Males,90+,8,93.4
Actual,Melanoma of the skin,1985,Males,All ages combined,"2,221",28.2
Actual,Melanoma of the skin,1986,Males,00-04,1,0.2
Actual,Melanoma of the skin,1986,Males,05-09,0,0.0
Actual,Melanoma of the skin,1986,Males,10-14,7,1.0
Actual,Melanoma of the skin,1986,Males,15-19,40,5.8
Actual,Melanoma of the skin,1986,Males,20-24,62,9.1
Actual,Melanoma of the skin,1986,Males,25-29,101,14.8
Actual,Melanoma of the skin,1986,Males,30-34,157,24.7
Actual,Melanoma of the skin,1986,Males,35-39,185,28.8
Actual,Melanoma of the skin,1986,Males,40-44,191,36.7
Actual,Melanoma of the skin,1986,Males,45-49,186,42.9
Actual,Melanoma of the skin,1986,Males,50-54,196,52.0
Actual,Melanoma of the skin,1986,Males,55-59,256,66.5
Actual,Melanoma of the skin,1986,Males,60-64,285,81.1
Actual,Melanoma of the skin,1986,Males,65-69,255,95.8
Actual,Melanoma of the skin,1986,Males,70-74,219,104.6
Actual,Melanoma of the skin,1986,Males,75-79,149,112.2
Actual,Melanoma of the skin,1986,Males,80-84,77,116.1
Actual,Melanoma of the skin,1986,Males,85-89,24,92.5
Actual,Melanoma of the skin,1986,Males,90+,12,137.0
Actual,Melanoma of the skin,1986,Males,All ages combined,"2,406",30.1
Actual,Melanoma of the skin,1987,Males,00-04,1,0.2
Actual,Melanoma of the skin,1987,Males,05-09,0,0.0
Actual,Melanoma of the skin,1987,Males,10-14,7,1.1
Actual,Melanoma of the skin,1987,Males,15-19,42,5.9
Actual,Melanoma of the skin,1987,Males,20-24,76,11.3
Actual,Melanoma of the skin,1987,Males,25-29,144,20.7
Actual,Melanoma of the skin,1987,Males,30-34,192,29.6
Actual,Melanoma of the skin,1987,Males,35-39,224,35.3
Actual,Melanoma of the skin,1987,Males,40-44,242,43.0
Actual,Melanoma of the skin,1987,Males,45-49,208,46.6
Actual,Melanoma of the skin,1987,Males,50-54,223,58.0
Actual,Melanoma of the skin,1987,Males,55-59,300,78.9
Actual,Melanoma of the skin,1987,Males,60-64,342,96.2
Actual,Melanoma of the skin,1987,Males,65-69,312,111.9
Actual,Melanoma of the skin,1987,Males,70-74,259,121.7
Actual,Melanoma of the skin,1987,Males,75-79,169,122.8
Actual,Melanoma of the skin,1987,Males,80-84,99,140.7
Actual,Melanoma of the skin,1987,Males,85-89,24,88.1
Actual,Melanoma of the skin,1987,Males,90+,10,110.8
