Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)"
Actual,Melanoma of the skin,1971,Males,00-04,1,0.2
Actual,Melanoma of the skin,1971,Males,05-09,0,0.0
Actual,Melanoma of the skin,1971,Males,10-14,1,0.2
Actual,Melanoma of the skin,1971,Males,15-19,2,0.3
Actual,Melanoma of the skin,1971,Males,20-24,3,0.5
Actual,Melanoma of the skin,1971,Males,25-29,8,1.6
Actual,Melanoma of the skin,1971,Males,30-34,17,4.0
Actual,Melanoma of the skin,1971,Males,35-39,14,3.6
Actual,Melanoma of the skin,1971,Males,40-44,24,5.8
Actual,Melanoma of the skin,1971,Males,45-49,22,5.4
Actual,Melanoma of the skin,1971,Males,50-54,29,8.5
Actual,Melanoma of the skin,1971,Males,55-59,26,8.5
Actual,Melanoma of the skin,1971,Males,60-64,10,4.0
Actual,Melanoma of the skin,1971,Males,65-69,15,7.9
Actual,Melanoma of the skin,1971,Males,70-74,18,14.2
Actual,Melanoma of the skin,1971,Males,75-79,4,5.1
Actual,Melanoma of the skin,1971,Males,80-84,5,11.4
Actual,Melanoma of the skin,1971,Males,85-89,0,0.0
Actual,Melanoma of the skin,1971,Males,90+,0,0.0
Actual,Melanoma of the skin,1971,Males,All ages combined,199,3.0
Actual,Melanoma of the skin,1972,Males,00-04,0,0.0
Actual,Melanoma of the skin,1972,Males,05-09,0,0.0
Actual,Melanoma of the skin,1972,Males,10-14,0,0.0
Actual,Melanoma of the skin,1972,Males,15-19,2,0.3
Actual,Melanoma of the skin,1972,Males,20-24,5,0.9
Actual,Melanoma of the skin,1972,Males,25-29,6,1.1
Actual,Melanoma of the skin,1972,Males,30-34,9,2.0
Actual,Melanoma of the skin,1972,Males,35-39,11,2.8
Actual,Melanoma of the skin,1972,Males,40-44,19,4.6
Actual,Melanoma of the skin,1972,Males,45-49,26,6.4
Actual,Melanoma of the skin,1972,Males,50-54,22,6.2
Actual,Melanoma of the skin,1972,Males,55-59,28,9.1
Actual,Melanoma of the skin,1972,Males,60-64,26,10.1
Actual,Melanoma of the skin,1972,Males,65-69,15,7.7
Actual,Melanoma of the skin,1972,Males,70-74,18,13.6
Actual,Melanoma of the skin,1972,Males,75-79,10,12.9
Actual,Melanoma of the skin,1972,Males,80-84,7,15.8
Actual,Melanoma of the skin,1972,Males,85-89,2,11.8
Actual,Melanoma of the skin,1972,Males,90+,0,0.0
Actual,Melanoma of the skin,1972,Males,All ages combined,206,3.1
Actual,Melanoma of the skin,1973,Males,00-04,0,0.0
Actual,Melanoma of the skin,1973,Males,05-09,0,0.0
Actual,Melanoma of the skin,1973,Males,10-14,0,0.0
Actual,Melanoma of the skin,1973,Males,15-19,2,0.3
Actual,Melanoma of the skin,1973,Males,20-24,8,1.4
Actual,Melanoma of the skin,1973,Males,25-29,9,1.6
Actual,Melanoma of the skin,1973,Males,30-34,11,2.4
Actual,Melanoma of the skin,1973,Males,35-39,8,2.0
Actual,Melanoma of the skin,1973,Males,40-44,16,4.0
Actual,Melanoma of the skin,1973,Males,45-49,22,5.3
Actual,Melanoma of the skin,1973,Males,50-54,21,5.7
Actual,Melanoma of the skin,1973,Males,55-59,28,9.1
Actual,Melanoma of the skin,1973,Males,60-64,26,9.8
Actual,Melanoma of the skin,1973,Males,65-69,24,12.0
Actual,Melanoma of the skin,1973,Males,70-74,17,12.4
Actual,Melanoma of the skin,1973,Males,75-79,17,21.9
Actual,Melanoma of the skin,1973,Males,80-84,7,15.7
Actual,Melanoma of the skin,1973,Males,85-89,3,17.0
Actual,Melanoma of the skin,1973,Males,90+,2,41.3
Actual,Melanoma of the skin,1973,Males,All ages combined,221,3.3
Actual,Melanoma of the skin,1974,Males,00-04,0,0.0
Actual,Melanoma of the skin,1974,Males,05-09,0,0.0
Actual,Melanoma of the skin,1974,Males,10-14,0,0.0
Actual,Melanoma of the skin,1974,Males,15-19,1,0.2
Actual,Melanoma of the skin,1974,Males,20-24,5,0.9
Actual,Melanoma of the skin,1974,Males,25-29,9,1.6
Actual,Melanoma of the skin,1974,Males,30-34,10,2.1
Actual,Melanoma of the skin,1974,Males,35-39,10,2.4
Actual,Melanoma of the skin,1974,Males,40-44,21,5.3
Actual,Melanoma of the skin,1974,Males,45-49,30,7.2
Actual,Melanoma of the skin,1974,Males,50-54,25,6.5
Actual,Melanoma of the skin,1974,Males,55-59,26,8.5
Actual,Melanoma of the skin,1974,Males,60-64,32,11.7
Actual,Melanoma of the skin,1974,Males,65-69,34,16.5
Actual,Melanoma of the skin,1974,Males,70-74,13,9.1
Actual,Melanoma of the skin,1974,Males,75-79,14,17.7
Actual,Melanoma of the skin,1974,Males,80-84,8,17.9
Actual,Melanoma of the skin,1974,Males,85-89,5,27.6
Actual,Melanoma of the skin,1974,Males,90+,1,19.4
Actual,Melanoma of the skin,1974,Males,All ages combined,244,3.5
Actual,Melanoma of the skin,1975,Males,00-04,0,0.0
Actual,Melanoma of the skin,1975,Males,05-09,0,0.0
Actual,Melanoma of the skin,1975,Males,10-14,0,0.0
Actual,Melanoma of the skin,1975,Males,15-19,2,0.3
Actual,Melanoma of the skin,1975,Males,20-24,2,0.3
Actual,Melanoma of the skin,1975,Males,25-29,12,2.0
Actual,Melanoma of the skin,1975,Males,30-34,15,3.1
Actual,Melanoma of the skin,1975,Males,35-39,9,2.1
